Agency Name,FY2020,Carissa's name (from Google drive),FY2021,Different
Public Service Commission,Public-Service-Commission-MFR.pdf,Public Service Commission.pdf,Public-Service-Commission-MFR.pdf,False
Office of the People’s Counsel,Office-of-the-Peoples-Counsel-MFR.pdf,Office of the Peoples Counsel.pdf,Office-of-the-Peoples-Counsel-MFR.pdf,False
Subsequent Injury Fund,Subsequent-Injury-Fund-MFR.pdf,Subsequent Injury Fund.pdf,Subsequent-Injury-Fund-MFR.pdf,False
Uninsured Employers’ Fund,Uninsured-Employers-Fund-MFR.pdf,Uninsured Employers' Fund.pdf,Uninsured-Employers-Fund-MFR.pdf,False
Workers’ Compensation Commission,Workers-Compensation-Commission-MFR.pdf,Workers Compensation Commission.pdf,Workers-Compensation-Commission-MFR.pdf,False
Office of Administrative Hearings,Office-of-Administrative-Hearings-MFR.pdf,Office of Administrative Hearings.pdf,Office-of-Administrative-Hearings-MFR.pdf,False
State Board of Contract Appeals​,Md-State-Board-of-Contract-Appeals-MFR.pdf,Maryland State Board of Contract Appeals.pdf,Maryland-State-Board-of-Contract-Appeals-MFR.pdf,True
Department of General Services,Department-of-General-Services-MFR.pdf,Department of General Services.pdf,Department-of-General-Services-MFR.pdf,False
Comptroller of Maryland,Comptroller-of-Maryland-MFR.pdf,Comptroller of Maryland.pdf,Comptroller-of-Maryland-MFR.pdf,False
State Treasurer,State-Treasurers-Office-MFR.pdf,State Treasurer's Office.pdf,State-Treasurers-Office-MFR.pdf,False
Department of Budget and Management,Department-of-Budget-and-Management-MFR.pdf,Department of Budget and Management.pdf,Department-of-Budget-and-Management-MFR.pdf,False
State Lottery and Gaming Control Agency,State-Lottery-and-Gaming-Control-Agency-MFR.pdf,State Lottery and Gaming Control Agency.pdf,Maryland-Lottery-and-Gaming-Control-Agency-MFR.pdf,True
State Department of Assessments and Taxation,State-Dept-of-Assess-and-Taxation-MFR.pdf,State Department of Assessments and Taxation.pdf,State-Dept-of-Assessments-and-Taxation-MFR.pdf,True
Property Tax Assessment Appeals Board,Property-Tax-Assess-Appeals-Board-MFR.pdf,Property Tax Assessment Appeals Boards.pdf,Property-Tax-Assessment-Appeals-Boards-MFR.pdf,True
Maryland State Retirement Agency,State-Retirement-Agency-MFR.pdf,State Retirement Agency.pdf,State-Retirement-Agency-MFR.pdf,False
Teachers and State Employees Supplemental Retirement,Teachers-and-State-Empl-Suppl-Retirement-MFR.pdf,Teachers and State Employees Supplemental Retirement.pdf,Teachers-and-State-Employees-Suppl-Retirement-MFR.pdf,True
Department of Information Technology,Department-of-Info-Technology-MFR.pdf,Department of Information Technology.pdf,Department-of-Info-Technology-MFR.pdf,False
State Board of Elections,State-Board-of-Elections-MFR.pdf,State Board of Elections.pdf,State-Board-of-Elections-MFR.pdf,False
Maryland State Archives​,Maryland-State-Archives-MFR.pdf,Maryland State Archives.pdf,Maryland-State-Archives-MFR.pdf,False
Board of Public Works,Board-of-Public-Works-MFR.pdf,Board of Public Works.pdf,Board-of-Public-Works-MFR.pdf,False
Maryland Commission on Civil Rights,Maryland-Commission-on-Civil-Rights-MFR.pdf,Maryland Commission on Civil Rights.pdf,Maryland-Commission-on-Civil-Rights-MFR.pdf,False
Maryland Insurance Administration,Maryland-Insurance-Admin-MFR.pdf,Maryland Insurance Administration.pdf,Maryland-Insurance-Administration-MFR.pdf,True
"Governor's Office of Small, Minority and Women Business Affairs",Governors-Office-of-Minority-Affairs-MFR.pdf,"Governor's Office of Small, Minority and Women Business Affairs.pdf",Exec-Gov-Office-of-Small-Minority-and-Women-Business-Affairs-MFR.pdf,True
Governor's Office of Community Initiatives,Governors-Office-of-Community-Initiatives-MFR.pdf,Governors Office of Community Initiatives.pdf,Exec-Gov-Office-of-Community-Initiatives-MFR.pdf,True
State Ethics Commission,Exec-State-Ethics-Commission-MFR.pdf,State Ethics Commission.pdf,Exec-State-Ethics-Commission-MFR.pdf,False
Health Care Alternative Dispute Resolution Office,Health-Care-Alt-Dispute-Resolution-Office-MFR.pdf,Health Care Alternative Dispute Resolution Office.pdf,Exec-Health-Care-Alt-Dispute-Resolution-Office-MFR.pdf,True
"Governor's Office of Crime, Control and Prevention",Gov-Office-of-Crime-Control-and-Prevention-MFR.pdf,,,True
State Commission on Criminal Sentencing Policy,Exec-State-Comm-on-Criminal-Sentencing-Policy-MFR.pdf,State Commission on Criminal Sentencing Policy.pdf,Exec-State-Commission-on-Criminal-Sentencing-Policy-MFR.pdf,True
Governor's Grants Office,Governors-Grants-Office-MFR.pdf,Governor's Grants Office.pdf,Exec-Governors-Grants-Office-MFR.pdf,True
Labor Relations Boards,Labor-Relations-Board-MFR.pdf,State Labor Relations Board.pdf,Exec-State-Labor-Relations-Boards-MFR.pdf,True
Office of the Secretary of State​​,Secretary-of-State-MFR.pdf,Office of the Secretary of State.pdf,Office-of-the-Secretary-of-State-MFR.pdf,True
